event_type,guest_count,food_cost,labor_hours,beverage_cost,equipment_cost,season,revenue
Networking,36,6788,87,1720,752,Spring,14152.076975261933
Corporate,203,6408,165,1855,216,Spring,16164.604588022758
Wedding,170,3035,56,1779,581,Summer,8312.690832325381
Networking,197,1477,172,355,491,Spring,8552.495231339615
Corporate,199,2254,195,1590,636,Summer,10388.826354516292
Networking,312,1922,92,1942,178,Summer,5422.4820517845055
Networking,151,1419,162,819,679,Spring,8033.9511725354205
Wedding,223,3204,68,1474,272,Winter,8559.801975588662
Networking,34,3597,140,1156,111,Spring,9542.750118595508
Wedding,58,2120,107,533,899,Spring,7578.499883497037
Networking,194,4068,159,1865,227,Summer,11489.435411773666
Corporate,368,1950,56,1168,707,Summer,6834.139953623343
Networking,165,3336,80,710,191,Summer,10699.024436929853
Wedding,394,6373,190,1516,752,Summer,15150.294527093236
Wedding,350,3243,143,1243,642,Winter,10121.05791299084
Corporate,371,3645,58,481,945,Winter,7857.694878550865
Networking,174,2857,82,996,631,Winter,7791.540116512456
Networking,356,5612,65,1224,757,Summer,13364.424579596975
Corporate,246,6754,107,318,927,Summer,14750.126559319026
Networking,330,2865,30,1258,546,Summer,8006.466502606424
Networking,161,3912,81,397,489,Winter,8937.795504753598
Wedding,321,6237,96,684,771,Summer,12102.300680055141
Networking,99,3853,172,1980,960,Spring,12396.814638740021
Networking,281,7028,71,1282,142,Spring,14757.859707466592
Corporate,304,5910,23,1036,353,Summer,11242.331898413297
Corporate,393,7371,78,1384,229,Spring,16179.407406078837
Wedding,211,6996,91,1208,159,Spring,14686.762103246798
Networking,196,7359,167,890,762,Winter,15936.685006667876
Networking,120,7158,112,1429,566,Summer,15352.498185816845
Networking,231,4228,82,1235,386,Summer,10863.41414968293
Wedding,375,4719,73,689,616,Winter,11118.232496238625
Wedding,48,4228,136,475,566,Spring,11789.708632154689
Corporate,68,7190,129,892,877,Spring,14996.575886794808
Wedding,155,3371,93,441,444,Summer,7198.069833923076
Networking,202,3891,126,1439,741,Spring,11338.59748025258
Networking,170,4756,76,1474,481,Winter,12771.973516533455
Wedding,271,5225,188,325,878,Winter,13199.431679191981
Networking,249,1094,22,416,789,Summer,4013.071890600973
Networking,155,3674,139,1529,352,Winter,11663.061138938965
Wedding,87,7898,25,1408,155,Winter,15092.872749670614
Wedding,177,2955,24,1262,562,Summer,8829.54025394821
Networking,346,1793,24,1446,556,Winter,7198.2064247661065
Networking,390,2834,73,1407,182,Winter,7369.994166160494
Networking,30,3116,66,694,198,Winter,5276.704558691326
Corporate,377,6779,196,626,248,Spring,15413.970664635257
Corporate,219,5106,28,1401,428,Summer,10586.672294047235
Corporate,220,4325,118,1118,255,Summer,10697.954722314344
Wedding,398,6961,39,1651,289,Summer,15683.498942928136
Corporate,341,3919,141,1517,593,Spring,11894.980304316448
Wedding,146,3597,80,350,982,Spring,9549.411880256195
Wedding,163,4205,142,583,362,Summer,11172.514309647344
Corporate,87,5807,182,1861,179,Spring,15343.966816509179
Corporate,73,7166,197,507,499,Summer,14906.488322037332
Corporate,202,1814,101,1559,863,Spring,7987.482361458515
Networking,189,1345,81,945,708,Winter,9209.947293154128
Corporate,202,3349,164,1091,359,Winter,9583.141600162166
Networking,346,1362,22,574,871,Summer,2425.0269556257763
Wedding,332,3443,179,1231,714,Spring,13838.48930256891
Networking,178,3265,32,1564,651,Spring,9032.482969869334
Corporate,109,3188,139,328,884,Winter,9810.419880523437
Wedding,242,4005,144,1214,200,Winter,12646.973862367056
Wedding,232,4281,108,1999,458,Spring,11192.598057043902
Wedding,281,1984,92,868,479,Spring,6737.9052390853485
Networking,258,2639,87,1575,919,Spring,9989.554116900823
Corporate,193,1827,161,1581,320,Spring,11125.054367820396
Wedding,256,3730,120,716,919,Spring,9296.555685343392
Wedding,176,4531,117,1718,519,Spring,13634.734458560395
Wedding,49,5451,30,285,223,Summer,9895.639060840984
Networking,76,6443,124,1398,521,Spring,15178.261067429417
Networking,262,3935,86,1416,330,Winter,10106.970777745262
Corporate,334,4876,142,510,789,Summer,10959.253379305395
Networking,43,6959,48,1342,162,Spring,14390.188998213032
Wedding,172,1126,156,1441,584,Winter,7178.330979673672
Corporate,30,4177,172,626,727,Summer,11036.709297497655
Wedding,83,4056,95,1637,802,Winter,12191.058958900338
Wedding,288,1603,189,313,673,Spring,9034.534025146679
Networking,173,4449,28,1368,867,Spring,10047.800083611064
Corporate,41,7024,59,1761,582,Spring,15843.943620811642
Networking,359,6109,44,1871,618,Spring,14614.436581479114
Networking,253,5146,24,502,254,Summer,10509.02407782554
Corporate,301,4533,158,943,191,Summer,11562.92102659802
Wedding,387,4367,143,787,625,Winter,12771.504931279711
Wedding,185,4368,57,1186,554,Spring,10221.240977508649
Corporate,37,4797,91,544,840,Winter,12773.207770352374
Wedding,151,7922,152,1013,697,Summer,17541.571663732826
Corporate,377,6526,195,1000,744,Spring,16325.92836263167
Corporate,193,2792,109,1224,609,Spring,8437.903123157123
Networking,119,3861,165,1370,282,Summer,12059.987894235555
Corporate,165,6732,56,1510,485,Summer,14310.225467592103
Networking,215,4476,79,1877,673,Summer,12167.66228292727
Wedding,345,4417,195,1276,830,Summer,14293.872540311857
Wedding,207,2645,47,1527,504,Summer,8200.337012679805
Wedding,57,7563,100,1292,345,Spring,15551.858164085601
Wedding,249,2205,133,560,841,Summer,7357.084684408129
Networking,386,4030,59,1825,690,Spring,9509.172003086353
Wedding,70,3872,64,1443,760,Spring,10950.651095303469
Corporate,257,4072,81,1209,749,Summer,10878.02231052829
Corporate,221,2854,112,903,570,Summer,6935.7622290496765
Corporate,174,5021,134,774,925,Spring,13924.55342679994
Networking,230,5662,86,1808,987,Summer,15778.735146402656
Wedding,241,7514,75,1384,522,Summer,14665.083149241467
Wedding,249,6031,59,1904,164,Summer,13322.86004627604
Wedding,269,7030,117,1312,112,Winter,14694.14190636764
Networking,75,3708,59,887,312,Spring,9072.906925471167
Corporate,64,4502,110,980,341,Winter,9888.091110924775
Corporate,282,2332,52,784,592,Summer,6318.55434290122
Wedding,111,1201,25,1980,312,Winter,6127.014127998781
Corporate,285,4507,166,788,792,Summer,13963.011739298841
Corporate,226,7456,99,1382,437,Winter,16224.59581891969
Networking,332,5212,187,688,272,Summer,13278.754696790262
Networking,39,6032,111,1170,771,Winter,12482.498915656392
Networking,341,1574,116,1547,263,Winter,6649.1502887607185
Networking,315,7387,78,1833,564,Winter,15381.22659524522
Wedding,271,1536,78,1604,596,Spring,6136.666216698386
Networking,280,2625,67,1325,799,Winter,8140.952968313615
Corporate,394,3122,188,693,494,Spring,10416.112263828714
Wedding,34,1385,32,1867,802,Summer,6172.2213723354425
Corporate,148,4281,126,1837,407,Winter,13426.227301047664
Corporate,318,1474,64,218,867,Summer,4619.837778770639
Corporate,94,1417,108,1677,282,Summer,5765.233022745775
Networking,175,7490,189,1705,728,Winter,18105.092401875125
Networking,253,4600,119,1817,893,Spring,13621.288469973271
Wedding,268,7783,174,596,609,Winter,18087.543784952675
Wedding,206,6034,185,1200,807,Summer,16409.785197016234
Networking,296,1954,26,1502,645,Summer,7393.637305888015
Corporate,370,5971,152,1050,663,Winter,14559.436930123014
Wedding,311,5858,64,1588,723,Spring,15140.066148009324
Networking,92,6298,77,1554,863,Spring,15004.287136105906
Networking,246,2205,50,1864,693,Summer,5033.112529792123
Networking,371,5759,42,1567,843,Summer,14296.858629963564
Corporate,344,5120,189,1021,326,Spring,13221.813389864279
Networking,312,2990,157,654,844,Winter,9089.098810543068
Networking,206,6299,179,1824,832,Summer,17551.271109832895
Networking,127,5805,126,924,535,Spring,11816.619527663455
Networking,134,4572,177,1878,521,Summer,13414.230768678388
Wedding,128,6975,58,1288,653,Winter,15733.498540624207
Wedding,340,6280,178,1299,120,Spring,16117.017578997502
Networking,35,7320,101,910,653,Summer,16127.53978093922
Corporate,226,5380,119,342,496,Winter,11344.089399502525
Wedding,380,5158,21,1116,724,Summer,8859.230001031898
Networking,162,6098,96,1027,204,Winter,13710.617429313734
Wedding,387,5757,31,804,291,Winter,11625.65615624195
Wedding,288,3713,58,1696,116,Spring,10067.29338608111
Corporate,52,3203,32,1640,219,Winter,8022.469230117865
Networking,82,6588,65,504,492,Summer,11685.931756527929
Networking,194,4120,174,935,524,Winter,14666.169588059729
Corporate,231,1966,132,1720,228,Winter,9043.587442984175
Corporate,112,5944,36,490,229,Spring,10482.013358410832
Networking,174,6203,123,301,671,Winter,13309.350762516633
Networking,114,4432,117,1490,659,Winter,12235.497478073554
Corporate,107,1688,107,1066,128,Summer,7696.608262157981
Wedding,395,5243,128,1167,196,Spring,12870.128123305452
Wedding,30,4701,182,1845,109,Spring,14793.913153447496
Corporate,80,1341,89,1173,341,Spring,6170.597687893208
Wedding,202,7619,177,1041,925,Winter,18007.84610852962
Corporate,234,6182,93,1161,331,Spring,13996.55039332839
Wedding,289,2724,82,1141,888,Winter,9085.286033673796
Wedding,398,6479,175,1226,383,Winter,15816.365880904845
Networking,317,7704,79,284,814,Summer,14017.99304228574
Networking,63,5422,98,527,858,Summer,12500.928914740434
Wedding,377,2792,56,1015,901,Summer,7875.448668962594
Wedding,124,2759,41,1673,875,Summer,7578.728287229243
Networking,101,4212,167,653,825,Summer,11341.699517463203
Networking,68,1989,115,828,299,Winter,7591.475843894456
Networking,183,3262,87,1444,178,Winter,9546.695057027693
Corporate,279,3482,36,1377,954,Spring,8464.767885345138
Wedding,191,1951,31,864,955,Winter,5208.862964087075
Networking,147,1722,169,211,272,Winter,6530.144810962809
Wedding,288,4389,164,1356,566,Summer,13315.55493914492
Corporate,335,3079,157,503,680,Winter,9091.122926359263
Corporate,297,3717,137,1516,515,Summer,13627.334569020732
Networking,83,3332,41,1174,548,Spring,7624.318564029003
Corporate,265,4376,139,1523,186,Spring,9645.9857221274
Wedding,251,5524,69,1963,200,Winter,12556.428333370866
Networking,280,2500,33,982,107,Spring,5798.066520181197
Wedding,342,1285,194,242,944,Winter,9218.018567524188
Wedding,141,4495,48,1143,299,Spring,9931.126236727705
Corporate,284,3065,183,542,604,Summer,9653.464816560198
Corporate,332,1768,199,1549,186,Summer,9404.008126503222
Corporate,236,7733,144,697,142,Summer,16519.519771650987
Corporate,258,6490,26,563,484,Summer,9428.285749689589
Corporate,370,4057,48,1090,720,Winter,10724.12173439045
Networking,95,5289,158,626,534,Spring,12390.930114195337
Wedding,104,7645,52,1204,507,Winter,16187.043820947616
Wedding,132,6083,153,220,582,Summer,14246.165141126588
Wedding,221,6232,130,606,763,Winter,14794.094136393975
Wedding,281,3161,98,818,116,Spring,9450.123436001273
Corporate,255,4293,179,1214,744,Winter,13762.832052692498
Wedding,323,6797,198,535,247,Spring,16732.086216317453
Networking,335,1946,77,1340,376,Winter,6701.183559538619
Networking,127,5926,45,1347,331,Spring,12366.668681472096
Wedding,367,7016,193,598,925,Spring,16496.60218502826
Wedding,315,4335,48,992,465,Summer,9060.988900412032
Networking,364,5150,23,914,327,Spring,11721.195047968908
Networking,376,5895,118,250,750,Summer,12109.306414949579
Corporate,337,5873,160,523,535,Summer,14179.917126636281
Networking,278,2481,58,988,498,Summer,7018.369036715477
Corporate,195,2901,34,340,310,Winter,5639.7455282192
Corporate,364,7305,138,669,490,Winter,16263.700936570436
Corporate,59,4451,48,986,598,Winter,10307.222092741384
Corporate,276,5064,176,1557,639,Winter,13641.48081685242
Corporate,135,7230,94,1163,662,Spring,15420.156711546553
Wedding,80,1054,135,1207,590,Spring,5971.032661227642
Networking,110,2823,51,572,541,Winter,7579.548618317301
Corporate,162,6297,149,1787,360,Spring,15887.387310362625
Networking,314,4462,194,693,872,Spring,13416.129886717088
Networking,167,4079,103,1762,449,Summer,11960.831348872402
Corporate,213,1832,41,1892,451,Summer,6263.989709531599
Wedding,359,5408,46,950,619,Summer,11996.921959218203
Corporate,302,3806,100,1379,419,Summer,9376.255127243863
Wedding,369,6954,145,490,237,Spring,16316.576518894528
Networking,98,7103,111,1871,649,Winter,15837.688817445149
Wedding,63,7102,40,1367,722,Spring,12391.420932304412
Wedding,291,3490,66,305,467,Spring,7436.165091537268
Wedding,82,6886,120,1643,319,Spring,15209.53180274579
Networking,234,1327,103,869,436,Summer,5751.8260138499645
Networking,155,7904,25,1881,322,Summer,15324.048015483984
Wedding,264,4310,166,201,747,Summer,12775.742360888275
Wedding,72,4300,150,788,867,Winter,11907.594086102865
Corporate,269,7722,20,843,459,Spring,12907.8824301811
Wedding,140,4675,77,289,428,Winter,8628.553187716201
Corporate,278,4054,143,1568,562,Summer,11687.617208690957
Wedding,180,6383,185,549,660,Winter,13696.475160749647
Corporate,212,3143,34,1682,903,Spring,7851.0669064836375
Networking,365,6207,181,1486,481,Spring,17391.853895862187
Wedding,124,2311,182,1574,935,Summer,10110.440795421577
Wedding,37,4191,83,1331,689,Summer,11345.315860800305
Wedding,389,7957,44,1809,716,Winter,14767.41791019151
Wedding,213,3538,43,1262,268,Summer,9962.295899310553
Corporate,310,4983,31,1108,316,Summer,11764.30673306471
Wedding,224,5547,37,358,477,Spring,10790.821556559877
Networking,381,6619,34,1806,218,Summer,15176.752601643522
Networking,224,1164,46,1158,289,Summer,4959.292974927662
Wedding,184,5277,91,511,866,Spring,12524.817114149557
Networking,122,7612,79,1464,469,Spring,16927.633876731532
Wedding,189,6005,193,644,877,Winter,15749.718453098449
Wedding,90,7878,164,497,248,Summer,15233.82253841494
Networking,151,1822,112,1151,775,Spring,8555.663355234397
Wedding,80,1943,72,235,751,Winter,5350.7404055665365
Networking,306,7097,27,1307,958,Winter,13545.17017904454
Corporate,34,7150,98,1675,587,Summer,16128.59491647869
Wedding,121,5425,46,1998,869,Summer,13207.280879717371
Corporate,199,1774,193,1608,473,Winter,10086.034634006217
Networking,346,3198,69,1395,880,Spring,9799.729536157309
Corporate,51,4156,150,1599,792,Winter,12067.142865939804
Corporate,355,5242,112,1908,259,Summer,13194.796205276716
Networking,30,4695,191,1585,450,Spring,15063.585450450872
Corporate,162,4452,43,758,387,Spring,10861.091176436717
Corporate,262,1914,79,1090,387,Winter,8706.135588973208
Networking,41,6667,141,340,991,Summer,15456.576682727731
Corporate,375,2308,150,1086,325,Winter,9712.709826745608
Networking,75,7843,167,1341,622,Winter,20214.47916481519
Corporate,63,5177,65,1500,621,Winter,11202.763963266505
Networking,107,1513,34,925,882,Spring,5829.399852712583
Networking,247,2920,172,1443,372,Spring,11589.142949486148
Corporate,330,7958,36,1249,501,Summer,16334.761436076744
Corporate,102,7852,145,720,282,Summer,15440.058619463778
Corporate,311,7035,103,209,764,Winter,13279.294216199482
Wedding,278,4594,28,1183,587,Winter,9677.682211104708
Wedding,76,5841,185,577,926,Winter,15475.227662321635
Wedding,150,2409,195,1856,945,Summer,12878.063953733808
Networking,243,5802,82,1860,223,Spring,13747.84377581227
Corporate,268,5566,136,881,725,Spring,13452.286769889717
Networking,85,4190,149,783,889,Winter,12343.96144475614
Wedding,379,5491,107,351,513,Winter,12198.044476274452
Corporate,136,2555,91,919,824,Winter,9861.71642998779
Networking,348,7404,158,1272,271,Winter,17046.15894356853
Corporate,77,1804,83,1377,387,Summer,6476.016586447436
Networking,90,6029,91,1058,534,Spring,13625.10903007183
Corporate,366,2279,40,1516,785,Winter,7299.685319338532
Wedding,55,6853,37,1803,212,Summer,12030.306644325328
Wedding,321,6000,83,249,987,Winter,12443.84793837783
Corporate,286,6172,101,863,221,Winter,12960.961754593995
Networking,37,6986,129,730,643,Spring,14743.428134220683
Wedding,142,6619,114,1835,321,Winter,16369.183287622973
Wedding,384,4577,185,1283,730,Spring,13047.420403388005
Wedding,282,3901,51,1390,138,Spring,9401.918619524538
Corporate,209,2387,30,1425,596,Spring,6548.24300015627
Corporate,236,6399,64,1056,879,Summer,13540.295005646783
Networking,332,5688,52,345,332,Summer,11022.986291045867
Networking,156,3761,121,1114,629,Spring,9387.625616108999
Networking,85,3679,188,1899,248,Winter,12961.76089173478
Corporate,243,3106,155,1192,496,Spring,12798.947489713206
Corporate,43,5223,30,1662,760,Winter,9858.136654121276
Networking,57,5831,198,441,737,Spring,14978.792036284496
Networking,107,3768,107,780,401,Winter,10827.33932482382
Corporate,245,4953,60,886,459,Summer,10799.219247953597
Networking,394,4186,164,1784,337,Winter,13578.466952116034
Wedding,183,4280,95,682,746,Spring,8058.333988907384
Corporate,43,3573,140,1331,762,Summer,11893.149374629951
Networking,216,5616,65,1449,335,Winter,11394.6117937664
Corporate,341,3599,179,872,835,Winter,12148.277284583146
Wedding,36,5033,99,830,302,Winter,11323.26526909051
Corporate,32,1236,73,860,355,Winter,7379.833029161633
Corporate,140,2304,105,861,697,Winter,8427.595323765876
Corporate,267,4430,111,1655,761,Summer,12130.476170737214
Corporate,392,6877,167,1004,334,Summer,14553.007240746445
Wedding,268,2301,180,1878,444,Summer,10814.646901849897
Corporate,303,3541,187,618,633,Summer,12247.628878346823
Corporate,323,3051,179,1187,959,Spring,11450.248108180776
Networking,256,7809,116,1678,896,Summer,17107.043640062555
Corporate,44,1441,21,1383,880,Winter,4741.513336153682
Networking,221,3076,52,1746,565,Winter,9165.84143545532
Wedding,148,4180,177,849,869,Summer,13429.087939309156
Wedding,57,3657,180,1168,640,Winter,13452.31011532112
Wedding,231,4798,96,789,312,Summer,9892.000106789643
Wedding,68,1804,135,1300,562,Winter,8785.177558417618
Networking,302,1074,173,708,535,Spring,7252.396045582133
Corporate,260,7981,169,640,382,Spring,17292.46579536672
Wedding,115,3175,122,1477,661,Summer,10713.825854034001
Corporate,155,4924,185,1120,706,Summer,14539.256253624948
Networking,329,3089,122,969,562,Summer,9993.268105791574
Networking,54,6475,109,1543,506,Winter,13788.228807804191
Networking,174,1040,193,462,187,Summer,6395.288592833541
Wedding,42,3081,141,1820,143,Spring,11973.668275517683
Corporate,241,6796,162,1881,560,Winter,16896.62753251916
Corporate,54,6497,125,1777,377,Summer,15723.614398017897
Corporate,97,5683,138,1597,782,Winter,15805.766312043186
Networking,96,2622,191,836,520,Winter,10746.64307236082
Wedding,262,1341,68,1390,800,Summer,6806.022630972039
Networking,138,5052,123,1976,452,Winter,14415.977679243759
Networking,175,3074,80,658,795,Spring,6158.436239103001
Corporate,140,1645,142,1198,614,Spring,7640.549844839466
Networking,257,5826,153,1503,802,Winter,15718.405796499594
Corporate,140,5263,28,899,729,Summer,11862.844307057656
Wedding,63,1609,25,501,118,Winter,3835.595559655773
Corporate,140,7411,92,1754,122,Spring,14810.783538243904
Wedding,293,6868,122,1803,512,Winter,15260.7139503895
Corporate,398,7136,179,1441,129,Winter,17933.961203453076
Networking,265,7964,60,1325,906,Spring,15814.826417608114
Networking,112,1454,133,753,207,Winter,6630.099954209663
Wedding,71,3953,27,487,466,Winter,8316.53019377232
Wedding,130,2708,91,1390,380,Summer,5521.476317306421
Wedding,35,4472,197,820,227,Summer,14867.067511508081
Corporate,209,3969,111,1205,328,Spring,9804.226164948937
Corporate,311,4028,81,235,210,Spring,8821.936369473571
Wedding,349,5797,103,943,235,Spring,10955.90298650373
Networking,255,3681,81,1964,461,Summer,9987.858889594962
Corporate,344,4629,130,552,285,Spring,12414.088046365096
Corporate,394,6695,146,1899,755,Spring,14885.63282033412
Corporate,258,5225,26,272,683,Spring,10691.40008718914
Wedding,318,4067,103,847,228,Summer,9669.003903767614
Wedding,179,6941,151,1576,975,Winter,17637.364440220194
Wedding,306,2386,153,1293,360,Spring,10009.124413485111
Wedding,227,4776,77,624,614,Winter,10954.621499490924
Wedding,99,3866,41,1198,548,Spring,7999.449348369173
Networking,141,5788,173,907,999,Winter,14829.750853464975
Networking,33,4363,146,760,203,Summer,9868.243822749184
Wedding,379,6490,22,1027,582,Summer,12649.39633158808
Corporate,360,5889,146,1865,323,Spring,16778.855154015924
Wedding,347,5124,60,1155,931,Winter,9771.659113323538
Networking,379,1148,125,716,973,Summer,6014.854093861964
Networking,124,4850,33,627,965,Spring,9732.124724117066
Corporate,181,6415,31,1762,590,Spring,13334.241423713554
Networking,340,3058,106,359,572,Summer,9176.176301434427
Wedding,166,7819,31,348,109,Summer,12888.800019642333
Corporate,276,2136,160,975,504,Spring,8612.441273554348
Wedding,272,1186,44,1453,995,Winter,6820.230706069741
Wedding,60,3854,64,1935,401,Winter,10806.095567063305
Corporate,69,7887,141,1785,330,Winter,18399.4779757011
Wedding,258,2250,166,266,830,Spring,8869.715711588115
Networking,65,2333,74,1213,165,Summer,7969.752210919859
Wedding,252,5193,119,580,211,Spring,11036.290608769734
Corporate,35,5150,192,257,112,Summer,12163.905717813923
Corporate,351,7766,155,1482,492,Winter,18589.700986869328
Corporate,249,3711,138,541,599,Winter,8699.564030753092
Wedding,104,5853,72,1353,697,Summer,13061.979509636489
Corporate,33,5501,51,926,333,Summer,10687.441647737487
Corporate,364,7212,70,1395,701,Spring,13607.345269347044
Wedding,163,6408,63,969,413,Winter,11872.832420283734
Networking,147,2785,101,813,665,Spring,8300.62390770465
Wedding,398,1750,165,1432,111,Spring,9624.463256499022
Corporate,123,2762,169,553,308,Spring,8717.44200874219
Corporate,91,4920,56,1694,113,Winter,12150.481399904991
